resolution,force_iter,force,dt,target_re,rel_re_error,status,note,steps,elapsed_s,u_mean,p_mean,re,outer_mean,outer_max,outer_total
64,1,700.0,0.07142857142857142,1.0,0.060990938567424324,ok,,46,1.150310467928648,1.1170677390686716,-287.1924395633138,1.0609909385674243,20.0,20,920
64,2,659.7605828237864,0.0757850670405303,1.0,0.0017766072283333934,ok,,16,0.40017798729240894,1.0547237389222293,-269.86437746946444,1.0017766072283334,20.0,20,320
128,1,659.7605828237864,0.0757850670405303,1.0,0.03331181374382719,ok,,26,2.705722190439701,1.0177807814868107,7.451683710665856,0.9666881862561728,20.0,20,520
128,2,682.4957542710154,0.0732605290027127,1.0,0.0007262833617009967,ok,,16,1.6364624612033367,1.05208856247452,7.271776256661232,0.999273716638299,20.0,20,320
256,1,682.4957542710154,0.0732605290027127,1.0,0.020621357278761465,ok,,26,20.2778081279248,1.0311419695949027,8.28617155891413,0.9793786427212385,20.0,20,520
256,2,696.8660786543971,0.0717497974597167,1.0,0.00021146473734667826,ok,,16,3.3074917066842318,1.0526305909271987,8.247650268816434,0.9997885352626533,4.8125,20,77
64,1,3298.802914118932,0.01515701340810606,5.0,0.11179350130516834,ok,,31,0.7744151037186384,4.675755415323393,-1514.1433585496166,4.441032493474158,20.0,20,620
64,2,3714.0044786503286,0.013462557809884501,5.0,0.0164703972321961,ok,,21,0.522898705676198,5.177561606484543,-1723.7658439827715,4.9176480138390195,20.0,20,420
64,3,3785.7450578705175,0.013207439813214737,5.0,0.0002801931626295939,ok,,16,0.3997280802577734,5.2627911499124576,-1760.220512428565,4.998599034186852,20.0,20,320
128,1,3785.7450578705175,0.013207439813214737,5.0,0.02034379168740639,ok,,26,2.708123557269573,5.371361295469606,-60.67559521717044,5.101718958437032,20.0,20,520
128,2,3710.264215563848,0.013476129217498736,5.0,0.001976658592734637,ok,,16,1.6379822306334972,5.274671818239286,-56.863103941457695,5.009883292963673,20.0,20,320
256,1,3710.264215563848,0.013476129217498736,5.0,0.006189980331789968,ok,,21,16.421060835942626,5.296851865296852,-41.780828068230406,5.03094990165895,20.0,20,420
64,1,7571.490115741035,0.006603719906607368,10.0,0.11882304551267744,ok,,26,0.6502809282392263,9.27750004724492,-3751.7331040994322,8.811769544873226,20.0,20,520
64,2,8592.474050965397,0.005819045795591587,10.0,0.028013413513943597,ok,,21,0.5220754873007536,10.233592192946478,-4302.243941647289,9.719865864860564,20.0,20,420
64,3,8907.432327295954,0.00561328990923455,10.0,0.0007982304998332523,ok,,16,0.3979851044714451,10.520128126975855,-4472.67056779114,9.992017695001667,20.0,20,320
128,1,8907.432327295954,0.00561328990923455,10.0,0.06174182103196006,ok,,21,2.1665167044848204,11.178583080985051,-475.14112510867346,10.6174182103196,20.0,20,420
128,2,8389.452266878188,0.0059598646502110175,10.0,0.011138352857444644,ok,,21,2.147886699065566,10.645802830674297,-425.10654654411593,10.111383528574446,20.0,20,420
256,1,8389.452266878188,0.0059598646502110175,10.0,0.038164533181415904,ok,,26,20.2775891572237,10.930348843771489,-383.49313293035857,10.381645331814159,20.0,20,520
256,2,8081.043031945071,0.006187320102410744,10.0,0.005626579652976638,ok,,21,16.26596057228744,10.587771948336247,-356.0752243369399,10.056265796529766,20.0,20,420
64,1,17814.864654591907,0.002806644954617275,20.0,0.17060140144769634,ok,,26,0.6495368387550116,17.46469990634457,-9351.068901878543,16.587971971046073,20.0,20,520
64,2,21479.255795328503,0.0023278273919934618,20.0,0.056190105125852874,ok,,26,0.6471250243484974,19.87386596913344,-11357.20730459889,18.876197897482943,20.0,20,520
64,3,23278.925321325492,0.0021478654753102244,20.0,0.00313659897298475,ok,,21,0.5225603971630335,20.99101707784829,-12340.658116963337,19.937268020540305,20.0,20,420
128,1,23278.925321325492,0.0021478654753102244,20.0,0.0994848052815815,ok,,26,2.6754614152014256,23.15192262121671,-2142.2811013613946,21.98969610563163,20.0,20,520
128,2,21172.575745931917,0.002361545453892494,20.0,0.02769917004316369,ok,,21,2.1478135846555233,21.640327859405428,-1880.0713817991739,20.553983400863274,20.0,20,420
128,3,20359.820730734282,0.0024558173012064993,20.0,0.0008047191492959627,ok,,16,1.635216522961855,21.040119622040514,-1783.4222070129797,19.98390561701408,20.0,20,320
256,1,20359.820730734282,0.0024558173012064993,20.0,0.0535761086574734,ok,,26,20.294364592060447,22.18522022862652,-1662.7981935527048,21.071522173149468,20.0,20,520
256,2,19324.489767215702,0.0025873904357788416,20.0,0.013027236201080506,ok,,21,16.275817688554525,21.331380000022754,-1540.322748570785,20.26054472402161,20.0,20,420
64,1,46557.850642650985,0.0010739327376551122,40.0,0.21726016849588836,ok,,31,0.7741730082780123,32.964406464692004,-25205.060811831976,31.309593260164466,20.0,20,620
64,2,59480.620212191694,0.0008406099301189119,40.0,0.08864966471699613,ok,,26,0.6468276530504227,38.380725848936784,-32417.193394215574,36.454013411320155,20.0,20,520
64,3,68388.12897620605,0.0007311210402816585,40.0,0.007583430554539028,ok,,21,0.5226071048527956,41.79475971553847,-37405.56054604757,39.69666277781844,20.0,20,420
128,1,68388.12897620605,0.0007311210402816585,40.0,0.1200646234872961,ok,,26,2.6786144077777863,47.17054636712133,-8424.894357878187,44.802584939491844,20.0,20,520
128,2,61057.30646440841,0.000818902812706716,40.0,0.043557318646954,ok,,26,2.6572690214961767,43.94850783941689,-7374.277338784685,41.74229274587816,20.0,20,520
128,3,56883.70535851424,0.0008789863403741173,40.0,0.0019723640300487234,ok,,16,1.6361535619944334,42.03106489660776,-6777.969569723537,39.92110543879805,20.0,20,320
256,1,56883.70535851424,0.0008789863403741173,40.0,0.07849385120999397,ok,,26,20.288508811965585,45.419829488734216,-6590.04161830804,43.13975404839976,20.0,20,520
256,2,52743.65291438123,0.0009479813633910605,40.0,0.026473072548536793,ok,,26,20.129569932818413,43.22901969039953,-6006.8330710185155,41.05892290194147,20.0,20,520
256,3,50636.80423721054,0.0009874240831979166,40.0,0.0007280578216219524,ok,,16,12.421946974471211,42.08346776914627,-5711.731987718341,39.97087768713512,20.0,20,320
64,1,102582.19346430906,0.00048741402685443906,60.0,0.1570085565409606,ok,,31,0.7747439313679934,53.25277596077318,-56632.539886588296,50.579486607542364,20.0,20,620
64,2,121688.29738459083,0.00041088585406020656,60.0,0.06842500451671102,ok,,31,0.7715337257832289,58.848704705198294,-67418.7619794618,55.89449972899734,20.0,20,620
64,3,136446.51397410114,0.0003664439533390386,60.0,0.004501874938818063,ok,,21,0.5231089890003204,62.886805120731644,-75759.24569044373,59.729887503670916,20.0,20,420
128,1,136446.51397410114,0.0003664439533390386,60.0,0.1308639101230682,ok,,31,3.1843514796346426,71.43802338111612,-18365.582474614013,67.85183460738409,20.0,20,620
128,2,120656.88254146524,0.0004143982419139404,60.0,0.05218996124859317,ok,,26,2.6576640624552965,66.4680960990899,-16067.733831460171,63.13139767491559,20.0,20,520
128,3,110182.50996467198,0.00045379253037557046,60.0,0.0028480513673353395,ok,,21,2.1454367339611053,62.99127913030099,-14536.404012210522,59.82911691795988,20.0,20,420
256,1,110182.50996467198,0.00045379253037557046,60.0,0.0881045140504933,ok,,31,24.15114299952984,68.73686127924785,-14512.269139497086,65.2862708430296,20.0,20,620
256,2,101260.9621060344,0.0004937737007440538,60.0,0.03372721584106226,ok,,26,20.137357065454125,65.3017824283678,-13137.791108663077,62.023632950463735,20.0,20,520
256,3,95727.42182042218,0.000522316375487438,60.0,0.0012011796856584785,ok,,16,12.42649321258068,63.09531398069119,-12302.399342740568,59.92792921886049,20.0,20,320
64,1,181928.68529880152,0.000274832965004279,80.0,0.11963301772762111,ok,,31,0.7749242801219225,74.15177782879586,-101573.36619825994,70.42935858179031,20.0,20,620
64,2,206650.96370290063,0.0002419538680297874,80.0,0.05386301515188023,ok,,31,0.7709560692310333,79.69147061260222,-115653.34473155199,75.69095878784958,20.0,20,620
64,3,226897.52602795907,0.00022036379538946068,80.0,0.0027312152201426796,ok,,21,0.5229263585060835,83.99821307895198,-127232.88144609806,79.78150278238859,20.0,20,420
128,1,226897.52602795907,0.00022036379538946068,80.0,0.13525527138305354,ok,,31,3.1868908032774925,95.62057455321572,-31716.842604191854,90.82042171064428,20.0,20,620
128,2,199864.76323649695,0.00025016916033786187,80.0,0.0565711883201848,ok,,31,3.1651033852249384,88.99315125880689,-27815.437014440213,84.52569506561478,20.0,20,620
128,3,180429.1232040803,0.0002771171256174972,80.0,0.003339571495704874,ok,,21,2.146788926795125,83.9469722892647,-24946.351436939207,79.73283428034361,20.0,20,420
256,1,180429.1232040803,0.0002771171256174972,80.0,0.09189475475019063,ok,,31,24.1451901756227,91.96839374606786,-26050.96867588138,87.35158038001525,20.0,20,620
256,2,165244.0607660578,0.0003025827359131949,80.0,0.03754849850720525,ok,,31,23.992243722081184,87.39090322233778,-23541.87697896055,83.00387988057642,20.0,20,620
256,3,154752.51390151182,0.00032309652838222186,80.0,0.0014397181619663969,ok,,16,12.421101653948426,84.10699362712433,-21806.465178181177,79.88482254704269,20.0,20,320
64,1,283621.90753494884,0.00017629103631156855,100.0,0.09626238467760231,ok,,36,0.8978917915374041,95.15030694066095,-159681.97813983256,90.37376153223977,20.0,20,720
64,2,313832.1374769491,0.00015932084075893118,100.0,0.04421867690769602,ok,,31,0.7711417470127344,100.62974553509201,-176934.08724311306,95.5781323092304,20.0,20,620
64,3,339500.1087717414,0.00014727535782209977,100.0,0.001704851210999294,ok,,16,0.3978848922997713,105.10582741514011,-191709.79776860494,99.82951487890007,20.0,20,320
128,1,339500.1087717414,0.00014727535782209977,100.0,0.13691336271167387,ok,,36,3.6944693345576525,119.70029087299156,-48494.4074107398,113.69133627116739,20.0,20,720
128,2,298615.637661249,0.00016743932230608844,100.0,0.059062824190462354,ok,,31,3.1672171112149954,111.50377176147214,-42687.24059618139,105.90628241904624,20.0,20,620
128,3,267597.8390025909,0.00018684754774688555,100.0,0.003838658377182185,ok,,21,2.1471877843141556,104.8811688379467,-38054.38340684052,99.61613416228178,20.0,20,420
256,1,267597.8390025909,0.00018684754774688555,100.0,0.0930402435939358,ok,,31,24.1472087521106,115.08109534575024,-41407.864025370014,109.30402435939358,20.0,20,620
256,2,244819.74984079678,0.00020423188910418533,100.0,0.039399653494353544,ok,,31,24.003204664215446,109.43352847908544,-37466.43723529782,103.93996534943535,20.0,20,620
256,3,228088.9715519657,0.00021921270309471522,100.0,0.0014561318781876765,ok,,16,12.426728734746575,105.13201391048771,-34536.37671691145,99.85438681218123,20.0,20,320
